"cat"	"DEM_RANGE"	"DEM_MEAN"	"HDIS_MIN"	"HDIS_MEAN"	"FAC_MEAN"	"GRA_MEAN"	"RELIEF_MEAN"	"ROUGHNESS_MEAN"	"VDIS_MIN_"	"VDIS_MEAN"
"1"	"©Y"	"81.8666666666667"	"130.791333333333"	"120.099333333333"	"448.671333333333"	"699.842666666667"	"7.244"	"83.9786666666667"	"0.107333333333333"	"3.60666666666667"	"34.266"
"2"	"¶`"	"55.2952380952381"	"91.4357142857143"	"73.0809523809524"	"368.980476190476"	"822.624761904762"	"5.20904761904762"	"58.6871428571429"	"0.0733333333333333"	"0.661904761904762"	"19.3761904761905"
"3"	"∞Ò"	"52.5485148514852"	"63.8574257425743"	"129.231089108911"	"454.952673267327"	"585.047524752475"	"5.49821782178218"	"56.4419801980198"	"0.0766336633663366"	"0.613861386138614"	"16.639801980198"
"4"	"∑æ"	"35.2953020134228"	"57.9809843400447"	"97.0610738255034"	"414.768903803132"	"756.232214765101"	"3.74697986577181"	"37.8297539149888"	"0.0472035794183445"	"0.503355704697987"	"12.038255033557"
"5"	"∆W"	"105.878571428571"	"149.835"	"103.349285714286"	"407.189285714286"	"1779.91107142857"	"9.02035714285714"	"116.532857142857"	"0.143214285714286"	"2.17857142857143"	"34.4164285714286"
"6"	"ß|"	"147.794849023091"	"201.128019538188"	"140.182904085258"	"472.251154529307"	"488.142628774423"	"14.9329040852575"	"153.95714920071"	"0.238809946714032"	"3.77797513321492"	"56.6964920071048"
"7"	"§s"	"125.335297583972"	"220.414142604596"	"157.170064820271"	"488.689923394225"	"883.13541543901"	"11.0101944608132"	"132.373364761344"	"0.174955804360636"	"9.25044195639364"	"58.1847967000589"
"8"	"±["	"87.031884057971"	"130.595797101449"	"199.631884057971"	"535.141304347826"	"764.926086956522"	"8.16753623188406"	"91.3827536231884"	"0.124202898550725"	"5.60579710144928"	"40.9830434782609"
"9"	"¥Ú"	"121.283315844701"	"210.470094438615"	"156.967681007345"	"509.968310598111"	"468.842602308499"	"11.1726128016789"	"127.394228751312"	"0.174606505771249"	"5.94648478488982"	"54.1860440713536"
"10"	"¶ø"	"33.2547169811321"	"50.9990566037736"	"97.5707547169811"	"433.07358490566"	"290.412264150943"	"3.29339622641509"	"34.6518867924528"	"0.0386792452830189"	"0.60377358490566"	"11.222641509434"
"11"	"≥ª"	"70.0079312623926"	"117.874421678784"	"156.119035029742"	"500.967283542631"	"617.155584930601"	"6.46926635822869"	"73.2006609385327"	"0.0925974884335757"	"4.13284864507601"	"32.4612690019828"
"12"	"Ÿı"	"60.0838709677419"	"130.545806451613"	"104.318064516129"	"421.550967741935"	"430.38"	"5.69935483870968"	"63.8490322580645"	"0.0793548387096774"	"3.64516129032258"	"29.3206451612903"
"13"	"∑À"	"75.0662020905923"	"123.26806039489"	"87.1233449477352"	"370.856910569106"	"1792.53879210221"	"6.85005807200929"	"81.8221835075494"	"0.103135888501742"	NA	NA
"14"	"ºÊ"	"69.3374689826303"	"94.5282878411911"	"104.787841191067"	"420.193300248139"	"1653.76848635236"	"6.94416873449132"	"73.8196029776675"	"0.102977667493797"	"2.30521091811414"	"23.8508684863524"
"15"	"§Ù"	"102.846968238691"	"180.966602502406"	"124.950336862368"	"445.216843118383"	"932.020596727623"	"9.52512030798845"	"109.56833493744"	"0.147834456207892"	"4.43599615014437"	"43.0656400384986"
"16"	"©W"	"155.290748898678"	"280.303230543319"	"151.689427312775"	"467.783994126285"	"1174.71483113069"	"14.0894273127753"	"164.772099853157"	"0.223348017621145"	"10.2613803230543"	"73.871953010279"
"17"	"±T"	"89.9901960784314"	"127.625294117647"	"184.258823529412"	"515.870392156863"	"595.648039215686"	"9.5478431372549"	"92.538431372549"	"0.142941176470588"	"4.37450980392157"	"40.1886274509804"
"18"	"Ær"	"72.8398169336384"	"113.401601830664"	"115.474599542334"	"429.453546910755"	"1408.56704805492"	"6.96224256292906"	"75.2157894736842"	"0.1"	"3.70022883295195"	"30.9247139588101"
"19"	"®¶"	"244.945454545455"	"395.823636363636"	"129.670909090909"	"401.967272727273"	"3389.94727272727"	"20.1254545454545"	"269.123636363636"	"0.356363636363636"	"5.47272727272727"	"80.3036363636364"
"20"	"ÆH"	"58.9195888754534"	"100.0415356711"	"106.849093107618"	"424.052357920193"	"879.450241837969"	"5.70888754534462"	"63.1720072551391"	"0.0798065296251512"	"1.88029020556227"	"22.4911729141475"
"21"	"·Y"	"21.132"	"31.258"	"101.5596"	"428.108"	"967.354"	"2.1792"	"22.976"	"0.0208"	"0.552"	"6.8368"
